Name,Type,Seed,Growth,Season,XP,Energy,HP,Base,Tiller,Base Artisan,Artisan,Description
Blue Jazz,flower,Jazz Seeds,7,Spring,10,45/63/81/117,20/28/36/52,50/62/75/100,55/68/82/110,200,280,The flower grows in a sphere to invite as many butterflies as possible.
Carrot,vegetable,Carrot Seeds,3,Spring,8,75/105/135/195,33/47/60/87,35/43/52/70,-,-,-,"A fast-growing, colorful tuber that makes for a great snack."
Cauliflower,vegetable,Cauliflower Seeds,12,Spring,23,75/105/135/195,33/47/60/87,175/218/262/350,192/239/288/385,393/400,550/560,"Valuable, but slow-growing. Despite its pale color, the florets are packed with nutrients."
Coffee Bean,seed,Cofee Bean,10,Spring/Summer,4,-,-,15/18/22/30,-,-,150,Plant in spring or summer to grow a coffee plant. Place five beans in a keg to make coffee.
Garlic,vegetable,Garlic Seeds,4,Spring,12,20/28/36/52,9/12/16/23,60/75/90/120,66/82/99/132,135/170,189/238,Adds a wonderful zestiness to dishes. High quality garlic can be pretty spicy.
Green Bean,vegetable,Bean Starter,10,Spring,9,25/35/45/65,11/15/20/29,40/50/60/80,44/55/66/88,90/130,126/182,"A juicy little bean with a cool, crisp snap."
Kale,vegetable,Kale Seeds,6,Spring,17,50/70/90/130,22/31/40/58,110/137/165/220,121/150/181/242,247/270,345/378,The waxy leaves are great in soups and stir fries.
Parsnip,vegetable,Parsnip Seeds,4,Spring,8,25/35/45/65,11/15/20/29,35/43/52/70,38/47/57/77,78/120,109/168,A spring tuber closely related to the carrot. It has an earthy taste and is full of nutrients.
Potato,vegetable,Potato Seeds,6,Spring,14,24/35/45/65,11/15/20/29,80/100/120/160,88/110/132/176,180/210,252/294,A widely cultivated tuber.
Rhubarb,fruit,Rhubarb Seeds,13,Spring,26,-,-,220/275/330/440,242/302/363/484,660/825/990/1320,924/1155/1386/1848,"The stalks are extremely tart, but make a great dessert when sweetened."
Strawberry,fruit,Strawberry Seeds,18,Spring,18,50/70/90/130,22/31/40/58,120/150/180/240,132/165/198/264,360/450/540/720/290,504/630/756/1008/406,"A sweet, juicy favorite with an appealing red color."
Tulip,flower,Tulip Bulb,7,Spring,7,45/63/81/117,20/28/36/52,30/37/45/60,33/40/49/66,160,224,The most popular spring flower. Has a very faint sweet smell.
Unmilled Rice,vegetable,Rice Shoot,8/(when irrigated) 6,Spring,7,3/4/5/7,1/1/2/3,30/37/45/60,33/40/49/66,67/110,93/154,Rice in its rawest form. Run this through a mill to increase the value.
Blueberry,fruit,Blueberry Seeds,13,Summer,10,25/35/45/65,11/15/20/29,50/62/75/100,55/68/82/110,150/187/225/300/150,210/261/315/420/210,A popular berry reported to have many health benefits. The blue skin has the highest nutrient concentration.
Corn,vegetable,Corn Seeds,14,Summer/Fall,10,25/35/45/65,11/15/20/29,50/62/75/100,55/68/82/110,112/150/100,156/210/100,"One of the most popular grains. The sweet, fresh cobs are a summer favorite."
