Name,Season,Unlock Method,Recipe,Recipe Cost,Products,Description
Bee House,Spring/Summer/Fall,Farming 3,Wood(40)/Coal(8)/Iron Bar(1)/Maple Syrup(1),-,Honey,Place outside and wait for delicious honey! (Except in Winter).
Cask,-,Final Farmhouse upgrade,Wood(20)/Hardwood(1),-,Wine/Pale Ale/Beer/Mead/Cheese/Goat Cheese,Use in the cellar to age products like wine and cheese.
Cheese Press,-,Farming 6,Wood(45)/Stone(45)/Hardwood(10)/Copper Bar(1),-,Cheese/Goat Cheese,Turns milk into cheese.
Dehydrator,-,Pierre's/Prize Machine,Wood(30)/Clay(2)/Fire Quartz(1),10000,Dried Mushrooms/Dried Fruit/Raisins,Place 5 pieces of fruit or edible mushrooms inside to dry them.
Fish Smoker,-,Fish Shop/Riverland Farm/Prize Machine,Hardwood(10)/Sea Jelly(1)/River Jelly(1)/Cave Jelly(1),10000,Smoked Fish,"Place fish inside with a piece of coal to create smoked fish, which is worth double. The quality of the fish is preserved."
Keg,-,Farming 8,Wood(30)/Copper Bar(1)/Iron Bar(1)/Oak Resin(1),-,Beer/Vinegar/Coffee/Green Tea/Juice/Mead/Pale Ale/Wine,Place a fruit or vegetable in here. Eventually it will turn into a beverage.
Loom,-,Farming 7,Wood(60)/Fiber(30)/Pine Tar(1),-,Cloth,Turns raw wool into fine cloth.
Mayonnaise Machine,-,Farming 2,Wood(15)/Stone(15)/Earth Crystal(1)/Copper Bar(1),-,Mayonnaise/Duck Mayonnaise/Void Mayonnaise/Dinosaur Mayonnaise,Turns eggs into mayonnaise.
Oil Maker,-,Farming 8,Slime(50)/Hardwood(20)/Gold Bar(1),-,Truffle Oil/Oil,Makes gourmet truffle oil.
Preserves Jar,-,Farming 4,Wood(50)/Stone(40)/Coal(8),-,Jellies and Pickles/Caviar/Aged Roe,Turns vegetables into pickles and fruit into jam.
Bait Maker,-,Fishing 6,Iron Bar(3)/Coral(3)/Sea Urchin(1),,Bait,Place a fish inside to create targeted bait.
